1994group.ac.uk, The 1994 Group
historysubjectcentre.ac.uk, University of Warwick
histparl.ac.uk, History of Parliament
hogarth.ac.uk, King's College London
holborncollege.ac.uk, Holborn College of Law
holmelacy.ac.uk, Herefordshire College of Technology
holycross.ac.uk, Holy Cross College
homefieldcollege.ac.uk, Homefield College Limited
homenetworks.ac.uk, University of Nottingham
homer.ac.uk, Cambridge Regional College
hope.ac.uk, Liverpool Hope University
hopwood.ac.uk, Hopwood Hall College
horizon.ac.uk, University of Nottingham
horniman.ac.uk, Horniman Museum
hotbed.ac.uk, Handing on Traditions by Electronic Dissemination
houghall.ac.uk, Houghall College of Agriculture
housefraserarchive.ac.uk, University of Glasgow
hpc-sc.ac.uk, University of Warwick
hpc-uk.ac.uk, University of Edinburgh
hpci.ac.uk, High Performance Computing Initiative
hpcx.ac.uk, Science and Technology Facilities Council
hpoolsfc.ac.uk, Hartlepool Sixth Form College
hrc.ac.uk, Hertford Regional College
hri.ac.uk, Horticulture Research International
hrionline.ac.uk, University of Sheffield
hrsfc.ac.uk, Hills Road Sixth Form College
hsdp.ac.uk, Higher Skills Development Project
hss.ac.uk, Hoylake Sailing School
hta.ac.uk, University of Southampton
hts.ac.uk, Heathercroft Training Academy
hubbard-theory-consortium.ac.uk, Royal Holloway and Bedford New College
hud.ac.uk, University of Huddersfield
huddcoll.ac.uk, Huddersfield Technical College
huddersfield.ac.uk, University of Huddersfield
huddnewcoll.ac.uk, Huddersfield New College
hughbaird.ac.uk, Hugh Baird College
huish.ac.uk, Richard Huish College
hull-college.ac.uk, Hull College
hull.ac.uk, University of Hull
hullacl.ac.uk, Kingston Upon Hull City Council
hullschoolartdesign.ac.uk, Hull College
humanities.ac.uk, University of Oxford
humanrights-lse.ac.uk, London School of Economics
humber.ac.uk, University of Lincoln
humbox.ac.uk, University of Southampton
humbul.ac.uk, University of Oxford
hungerford.ac.uk, Newbury College
huntingdon.ac.uk, Huntingdonshire Regional College
huron.ac.uk, Huron University
hutton.ac.uk, The Macaulay Land Use Research Institute
hw.ac.uk, Heriot-Watt University
hwlc.ac.uk, Hammersmith and West London College
hwlln.ac.uk, University of Worcester
hyde.ac.uk, Hyde Clarendon Sixth Form College
hydeclarendon.ac.uk, Hyde Clarendon Sixth Form College
hyms.ac.uk, University of Hull
hyp.ac.uk, St George's Hospital Medical School
hysbys.ac.uk, Bangor University
i-centralwm.ac.uk, University of Wolverhampton
i-lab.ac.uk, London Business School
iaac.ac.uk, Information Assurance Advisory Council
iagp.ac.uk, University of East Anglia
iah.ac.uk, Biotechnology and Biological Sciences Research Council
ial-wrecsam.ac.uk, Yale College
iat.ac.uk, Fife College of Further and Higher Education
ibis.ac.uk, British Ornothologists Union
ibss.ac.uk, London School of Economics and Political Science
ic.ac.uk, "Imperial College of Science,  Technology and Medicine"
icb.ac.uk, International College Britain
icc.ac.uk, International Christian College
iccliverpool.ac.uk, The Institute of Cultural Capital
iced.ac.uk, Natural Environment Research Council
icit.ac.uk, City of Glasgow College
icm.ac.uk, The Institute of Commercial Management
icma.ac.uk, The University of Reading
icmacentre.ac.uk, The University of Reading
iconnect.ac.uk, University of Oxford
icr.ac.uk, The Institute of Cancer Research: Royal Cancer Hospital
ics.ac.uk, The Intensive Care Society
icsa.ac.uk, International Centre for Security Analysis
icsl.ac.uk, City University London
icstudies.ac.uk, The Young Foundation
idealse.ac.uk, IDEA LSE Research Institute
idgo.ac.uk, The Edinburgh College of Art
idras.ac.uk, University of Strathclyde
idris.ac.uk, University of Dundee
ids.ac.uk, Institute of Development Studies
iec.ac.uk, The International Extension College
ies.ac.uk, Institute for Employment Studies
iesr.ac.uk, The University of Manchester
iexchange.ac.uk, London Business School
ife.ac.uk, Institute of Freshwater Ecology
ifl.ac.uk, The Institute for Learning (Post Compulsory Education and Training)
ifm.ac.uk, Bangor University
ifr.ac.uk, The Institute of Food Research
ifs.ac.uk, The Institute for Fiscal Studies
ifslearning.ac.uk, ifs School of Finance
iger.ac.uk, Biotechnology and Biological Sciences Research Council
igmm.ac.uk, Medical Research Council
ihgs.ac.uk, The Institute of Heraldic and Genealogical Studies
ihrinfo.ac.uk, Institute of Historical Research
ihrs.ac.uk, Institute for Horticultural and Rural Studies
iis.ac.uk, The Institute of Ismaili Studies
ilab.ac.uk, London Business School
ile.ac.uk, Columba Centre
ilex-tutorial.ac.uk, Ilex Tutorial Services Ltd.
ilt.ac.uk, The Higher Education Academy
ilthe.ac.uk, The Higher Education Academy
ima.ac.uk, Intelligent Modelling and Analysis
imageworkshop.ac.uk, The Image Workshop
imems.ac.uk, Research Enterprise Partnership
imlab.ac.uk, University of Liverpool
impact-hei.ac.uk, University of Strathclyde
impala.ac.uk, University of Leicester
imperial.ac.uk, "Imperial College of Science,  Technology and Medicine"
imrci.ac.uk, Institute for Musculoskeletal Research
imt.ac.uk, Higher Education Information Management Taskforce
inclusion.ac.uk, University of Bradford
indeedproject.ac.uk, University of St Andrews
infogov.ac.uk, The University of Manchester
inform25.ac.uk, London School of Economics and Political Science
information-systems.ac.uk, London School of Economics
innogen.ac.uk, Innogen Centre
innovation-exchange.ac.uk, London Business School
innovation.ac.uk, London Business School
innovations.ac.uk, The Open University
inst-of-oceanographic-sci.ac.uk, Institute of Oceanographic Sciences
institute-of-cancer-research.ac.uk, The Institute of Cancer Research: Royal Cancer Hospital
institutionofelectronics.ac.uk, The Institution of Electronics
intarch.ac.uk, University of York
intec.ac.uk, Cambridge Institute of Technology
integrativebiology.ac.uk, University of Oxford
interactive-e.ac.uk, InterActive Education
interactiveeducation.ac.uk, InterActive Education
international-house-london.ac.uk, International House World Organisation in London
international-union-crystallography.ac.uk, International Union of Crystallography
international.ac.uk, The UK Higher Education International Unit
internationalstaff.ac.uk, University of Leeds
internationalstudies.ac.uk, British International Studies Association
internet-pars.ac.uk, Internet Personal and Academic Records
intute.ac.uk, The Intute Consortium
ioe.ac.uk, "Institute of Education,  University of London"
ion.ac.uk, Institute for Optimum Nutrition
ios.ac.uk, Institute of Oceanographic Sciences
ioz.ac.uk, Institute of Zoology
ipem.ac.uk, Institute of Physics and Engineering in Medicine
ipforesightforum.ac.uk, University of Edinburgh
ipgc.ac.uk, University of Liverpool
ipi.ac.uk, University of Bradford
ipv6.ac.uk, The JNT Association
irc.ac.uk, The cahro Inter Regional College
irh.ac.uk, The Institute of Rural Health
iri-scotland.ac.uk, University of Edinburgh
iriss.ac.uk, Institute for Research and Innovation in Social Services
irscl.ac.uk, International Research Society for Children's Literature
isc.ac.uk, International Seismological Centre
iscp.ac.uk, Royal College of Surgeons of England
isic.ac.uk, Science and Technology Facilities Council
isis.ac.uk, Science and Technology Facilities Council
islamic-college.ac.uk, Islamic College for Advanced Studies
islamicacademy.ac.uk, The Islamic Academy
islamicstudiesnetwork.ac.uk, The Higher Education Academy
isle.ac.uk, Isle College
isli.ac.uk, Heriot-Watt University
islington-acl.ac.uk, London Borough of Islington
ism.ac.uk, Institute for Social Marketing
ismg.ac.uk, University of Strathclyde
ispan.ac.uk, King's College London
itchen.ac.uk, Itchen College
iteach.ac.uk, Canterbury Christ Church University
itlearningspace-scot.ac.uk, Virtual Learning Space Project- The Robert Gordon University
itnow.ac.uk, Newbury College
itol.ac.uk, The Sheffield College
itskillsacademy.ac.uk, E-Skills UK Sector Skills Council Limited
iucr.ac.uk, International Union of Crystallography
iwcollege.ac.uk, Isle of Wight College
iwcommunitylearning.ac.uk, Isle of Wight Council
iwightc.ac.uk, Isle of Wight College
iwm.ac.uk, Imperial War Museum
jameswatt.ac.uk, James Watt College of Further and Higher Education
janeausten.ac.uk, King's College London
janet-brokerage.ac.uk, The JNT Association
janet.ac.uk, The JNT Association
janetbrokerage.ac.uk, The JNT Association
janetcollaborate.ac.uk, The JNT Association
jcc.ac.uk, Joseph Chamberlain Sixth Form College
jcpsg.ac.uk, Higher Education Funding Council for England
jec.ac.uk, Jewel and Esk College
jenner.ac.uk, University of Oxford
jevc.ac.uk, Jewel and Esk College
jewel-esk.ac.uk, Jewel and Esk Valley College
jibs.ac.uk, University of Bath
jic.ac.uk, The John Innes Centre
jigg.ac.uk, The University of Manchester
jisc-collections.ac.uk, The JISC Content Procurement Company Limited
jisc-content.ac.uk, The JISC Content Procurement Company Limited
jisc-mau.ac.uk, JISC Monitoring & Advisory Unit
jisc-services.ac.uk, JISC Services Management Company Ltd
jisc-tau.ac.uk, Joint Information Systems Committee
jisc.ac.uk, Higher Education Funding Council for England
jiscadvance.ac.uk, JISC Services Management Company Ltd
jisccollections.ac.uk, The JISC Content Procurement Company Limited
jisccontent.ac.uk, The JISC Content Procurement Company Limited
jiscdigitalmedia.ac.uk, Joint Information Systems Committee
jiscecollections.ac.uk, The JISC Content Procurement Company Limited
jischistoricbooks.ac.uk, The JISC Content Procurement Company Limited
jischistories.ac.uk, The JISC Content Procurement Company Limited
jiscinfonet.ac.uk, University of Northumbria at Newcastle
jiscjournalarchives.ac.uk, The JISC Content Procurement Company Limited
jisclegal.ac.uk, Joint Information Systems Committee
jiscmail.ac.uk, JISC Services Management Company Ltd
jiscmediahub.ac.uk, The JISC Content Procurement Company Limited
jiscmu.ac.uk, University of Kent
jiscpas.ac.uk, JISC Plagiarism Advisory Service
jiscrsc.ac.uk, JISC Services Management Company Ltd
jisctechdis.ac.uk, JISC Services Management Company Ltd
jiscwell.ac.uk, University of Bradford
jmc.ac.uk, Birmingham Metropolitan College
jmu.ac.uk, Liverpool John Moores University
jnt.ac.uk, The JNT Association
jobs.ac.uk, University of Warwick
john-lister.ac.uk, The John Lister Postgraduate Centre
johnlister.ac.uk, The John Lister Postgraduate Centre
johnruskin.ac.uk, John Ruskin College
joinup.ac.uk, Joint Infrastructure for National Journal Services in the UK
jorum.ac.uk, The University of Manchester
joseph-chamberlain.ac.uk, Joseph Chamberlain Sixth Form College
joseph-priestley.ac.uk, Joseph Priestley College
joseph-priestly.ac.uk, UNKNOWN via DNS upload
josephwright6form.ac.uk, Derby College
journalarchives.ac.uk, The JISC Content Procurement Company Limited
journaltocs.ac.uk, Heriot-Watt University
jppsg.ac.uk, Procureweb
jrs.ac.uk, Natural Environment Research Council
jsmc.ac.uk, JISC Services Management Company Ltd
jstor.ac.uk, The University of Manchester
jtap.ac.uk, JISC Technology Applications Programme
juc.ac.uk, Joint University Council
justincraig.ac.uk, Justin Craig Education
jwheatley.ac.uk, John Wheatley College
kaes.ac.uk, Kent County Council
kcc.ac.uk, Kensington and Chelsea College
kcl.ac.uk, King's College London
kcollege.ac.uk, South and West Kent College
ke-westyorkshire.ac.uk, The Univeristy of Huddersfield
kec-stourbridge.ac.uk, King Edward VI College
kecnuneaton.ac.uk, King Edward VI College Nuneaton
kedst.ac.uk, "King Edward VI College,  Stourbridge"
keele.ac.uk, University of Keele
kendal.ac.uk, Kendal College
kennedy.ac.uk, The Mathilda & Terrence Kennedy Inst. of Rheumatology
kensingtoncoll.ac.uk, Kensington College of Business
kent.ac.uk, University of Kent
kentman.ac.uk, Kent MAN Ltd
kew.ac.uk, Royal Botanic Gardens
keyskillbuilder.ac.uk, West Nottinghamshire College
kgv.ac.uk, King George V College
kiad.ac.uk, University for the Creative Arts
kiddercoll.ac.uk, Kidderminster College
kidderminster.ac.uk, Kidderminster College
kilmarnock.ac.uk, Kilmarnock College
kinds.ac.uk, Knowledge-based Interfaces to National Data Sets
king.ac.uk, Kingston University
kingalfreds.ac.uk, University of Winchester
kingalfredsbasingstoke.ac.uk, University of Winchester
kinged6nun.ac.uk, University of Warwick
kings.ac.uk, King's College London
kingshillinstitute.ac.uk, Kings Hill Centre- University of Greenwich
kingshurst.ac.uk, CTC Kingshurst Academy
kingston-college.ac.uk, Kingston College
kingston.ac.uk, Kingston University
kingsway.ac.uk, Kingsway College
kirkley.ac.uk, Kirkley Hall College
kisharon.ac.uk, Kisharon College
kitts.ac.uk, Knowledge- Innovation & Technology
kmc.ac.uk, Kingston Maurward College
knowledge-house.ac.uk, Knowledge House
knowledgehouse.ac.uk, Knowledge House
knowsleycc.ac.uk, Knowsley Community College
knowsleycollege.ac.uk, Knowsley Community College
knti.ac.uk, University of Kent
kssacademy.ac.uk, The Kent Surrey & Sussex Postgraduate Deanery & South Thames Foundation School
kssdeanery.ac.uk, South East Coast Strategic Health Authority
kube.ac.uk, University for the Creative Arts
laban.ac.uk, Trinity Laban Conservatoire of Music and Dance
labinacell.ac.uk, Daresbury Laboratory
lackcoll.ac.uk, Wiltshire College
lackham.ac.uk, Lackham College
laec.ac.uk, Leicester Adult Education College
laia.ac.uk, St George's Hospital Medical School
lakescollege.ac.uk, Lakes College West Cumbria
lakescollegewestcumbria.ac.uk, Lakes College West Cumbria
lambeth.ac.uk, Lambeth College
lambethacl.ac.uk, London Borough of Lambeth
lambethcollege.ac.uk, Lambeth College
lamp.ac.uk, University of Wales Trinity Saint David
lampeter.ac.uk, Lampeter College
lancashirecompact.ac.uk, Lancashire Compact
lancashirelawacademy.ac.uk, Blackburn College
lancashirelawschool.ac.uk, Blackburn College
lancaster.ac.uk, University of Lancaster
lancs-cumbrianti.ac.uk, University of Central Lancashire
lancs.ac.uk, University of Lancaster
lancsngfl.ac.uk, Lancashire Grid for Learning
landmap.ac.uk, LANDMAP Project
landmarks.ac.uk, Landmarks
landscape.ac.uk, University of Nottingham
langdoncollege.ac.uk, Langdon College
langside.ac.uk, Langside College
languagebox.ac.uk, University of Southampton
languagesresearch.ac.uk, Oxford Brookes University
lanmore.ac.uk, Lancaster and Morecambe College
laps.ac.uk, Leakage Analysis & Prevention System
lauder.ac.uk, Lauder College - Dunfermline
lawcabs.ac.uk, Central Applications Board
lawpaths.ac.uk, University of Kent
lawteacher.ac.uk, University of Plymouth
lbc-northwood.ac.uk, London School of Theology
lbc.ac.uk, Leo Baeck College
lboro.ac.uk, Loughborough University
lbs.ac.uk, London Business School
lcad.ac.uk, Loughborough College of Art & Design
lcb.ac.uk, Leeds College of Building
lcbt.ac.uk, London College of Beauty Therapy
